@relation 'GPCRpfam-weka.filters.unsupervised.attribute.Discretize-F-B20-M-1.0-Rfirst-last'
@attribute pf00001 {1,0}
@attribute pf00091 {1,0}
@attribute pf03953 {1,0}
@attribute pf03827 {1,0}
@attribute pf00560 {1,0}
@attribute pf01462 {1,0}
@attribute pf02162 {1,0}
@attribute pf00057 {1,0}
@attribute pf00002 {1,0}
@attribute pf02793 {1,0}
@attribute pf00008 {1,0}
@attribute pf01825 {1,0}
@attribute pf07645 {1,0}
@attribute pf00059 {1,0}
@attribute pf02140 {1,0}
@attribute pf02354 {1,0}
@attribute pf02191 {1,0}
@attribute pf00090 {1,0}
@attribute pf06652 {1,0}
@attribute pf00028 {1,0}
@attribute pf00053 {1,0}
@attribute pf00054 {1,0}
@attribute pf02210 {1,0}
@attribute pf01740 {1,0}
@attribute pf00916 {1,0}
@attribute pf00003 {1,0}
@attribute pf01094 {1,0}
@attribute pf07562 {1,0}
@attribute pf01352 {1,0}
@attribute pf00075 {1,0}
@attribute pf00078 {1,0}
@attribute pf03131 {1,0}
@attribute pf00084 {1,0}
@attribute pf00287 {1,0}
@attribute pf02608 {1,0}
@attribute pf02076 {1,0}
@attribute pf02116 {1,0}
@attribute pf05462 {1,0}
@attribute pf02101 {1,0}
@attribute pf01534 {1,0}
@attribute pf01392 {1,0}
@attribute pf02949 {1,0}
@attribute pf06151 {1,0}
@attribute pf03094 {1,0}
@attribute pf01461 {1,0}
@attribute pf00646 {1,0}
@attribute pf04145 {1,0}
@attribute pf01827 {1,0}
@attribute pf01604 {1,0}
@attribute pf01030 {1,0}
@attribute pf07716 {1,0}
@attribute pf06681 {1,0}
@attribute pf03402 {1,0}
@attribute pf05296 {1,0}
@attribute pf03375 {1,0}
@attribute pf06976 {1,0}
@attribute pf02695 {1,0}
@attribute pf00069 {1,0}
@attribute pf01390 {1,0}
@attribute pf00047 {1,0}
@attribute pf01463 {1,0}
@attribute pf00354 {1,0}
@attribute pf00431 {1,0}
@attribute pf03160 {1,0}
@attribute pf00024 {1,0}
@attribute pf03547 {1,0}
@attribute pf00610 {1,0}
@attribute pf03736 {1,0}
@attribute pf02117 {1,0}
@attribute pf01504 {1,0}
@attribute pf06237 {1,0}
@attribute pf03125 {1,0}
@attribute pf01036 {1,0}
@attribute mw {'\'(-inf-34329.5]\'','\'(34329.5-34723.5]\'','\'(34723.5-34987.5]\'','\'(34987.5-35233]\'','\'(35233-35473.5]\'','\'(35473.5-35770.5]\'','\'(35770.5-36492.5]\'','\'(36492.5-37306]\'','\'(37306-38345.5]\'','\'(38345.5-39092.5]\'','\'(39092.5-39829]\'','\'(39829-40583]\'','\'(40583-41513]\'','\'(41513-42935]\'','\'(42935-45118.5]\'','\'(45118.5-48061.5]\'','\'(48061.5-51739.5]\'','\'(51739.5-59618.5]\'','\'(59618.5-79068]\'','\'(79068-inf)\''}
@attribute sl {'\'(-inf-305.5]\'','\'(305.5-309.5]\'','\'(309.5-311.5]\'','\'(311.5-313.5]\'','\'(313.5-315.5]\'','\'(315.5-318.5]\'','\'(318.5-323.5]\'','\'(323.5-330.5]\'','\'(330.5-338.5]\'','\'(338.5-346.5]\'','\'(346.5-352.5]\'','\'(352.5-358.5]\'','\'(358.5-370.5]\'','\'(370.5-383.5]\'','\'(383.5-400.5]\'','\'(400.5-426.5]\'','\'(426.5-464.5]\'','\'(464.5-533.5]\'','\'(533.5-709.5]\'','\'(709.5-inf)\''}
@attribute class {R.001.001.001,R.001.001,R.001,R.001.001.001.003,R.001.001.001.101,R.001.001.002.001,R.001.001.002,R.001.001.002.002,R.001.001.003.001,R.001.001.003,R.001.001.003.002,R.001.001.003.201,R.001.001.004.001,R.001.001.004,R.001.001.004.003,R.001.001.005.001,R.001.001.005,R.001.001.005.002,R.001.001.005.999,R.001.001.006,R.001.001.007,R.001.002.001.001,R.001.002.001,R.001.002,R.001.002.002,R.001.002.003,R.001.002.004,R.001.002.005,R.001.002.007.002,R.001.002.007,R.001.002.007.003,R.001.002.008.001,R.001.002.008,R.001.002.008.002,R.001.002.009.002,R.001.002.009,R.001.002.010,R.001.002.011.001,R.001.002.011,R.001.002.011.002,R.001.002.011.003,R.001.002.014,R.001.002.014.999,R.001.002.016,R.001.002.016.003,R.001.002.016.004,R.001.002.017,R.001.002.018.001,R.001.002.018,R.001.002.018.002,R.001.002.020.001,R.001.002.020,R.001.002.020.002,R.001.002.021.001,R.001.002.021,R.001.002.022.002,R.001.002.022,R.001.002.023.001,R.001.002.023,R.001.002.027.001,R.001.002.027,R.001.002.028.001,R.001.002.028,R.001.002.028.002,R.001.002.029,R.001.002.031,R.001.002.999,R.001.003.001,R.001.003,R.001.003.003,R.001.004.001.001,R.001.004.001,R.001.004,R.001.004.001.002,R.001.004.001.003,R.001.004.001.004,R.001.004.001.005,R.001.004.101.001,R.001.004.101,R.001.004.101.002,R.001.004.999,R.001.005.001,R.001.005,R.001.005.002,R.001.005.003,R.001.005.004,R.001.005.005,R.001.005.006,R.001.005.007,R.001.005.008,R.001.005.009,R.001.005.010,R.001.005.011,R.001.005.012,R.001.005.013,R.001.005.099,R.001.005.101,R.001.005.102,R.001.005.103,R.001.006.001,R.001.006,R.001.006.001.002,R.001.006.001.003,R.001.006.001.005,R.001.007.001.001,R.001.007.001,R.001.007,R.001.007.001.002,R.001.007.002.001,R.001.007.002,R.001.007.002.002,R.001.007.002.003,R.001.008,R.001.009,R.001.010.001,R.001.010,R.001.010.002,R.001.011.001,R.001.011,R.001.012,R.001.013,R.001.014,R.001.014.002,R.001.999.001,R.001.999,R.001.999.003,R.001.999.007,R.001.999.008,R.001.999.009,R.001.999.010,R.001.999.013,R.002.001,R.002,R.002.002,R.002.004,R.002.005,R.002.006,R.002.007,R.002.009,R.002.011,R.002.012,R.002.012.002,R.002.013,R.002.014,R.003.001.001,R.003.001,R.003,R.003.001.002,R.003.001.003,R.003.002.001,R.003.002,R.003.003,R.003.004.001,R.003.004,R.003.004.002,R.003.005,R.003.008,R.004.001,R.004,R.004.002,R.007.001.001,R.007.001,R.007,R.007.001.002,R.007.001.003,R.007.002,R.008,R.009,R.010.001.001,R.010.001,R.010,R.010.001.002,R.010.001.999,R.010.002,R.011.001,R.011,R.011.002,R.011.003,R.011.005,R.011.007,R.011.008,R.011.009,R.011.011,R.012,R.099.001,R.099,R.099.002,R.099.003,R.099.999,R.195.001,R.195,R.195.003}
@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(533.5-709.5]\'',R.001.001.001.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(51739.5-59618.5]\'','\'(464.5-533.5]\'',R.001.001.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(59618.5-79068]\'','\'(464.5-533.5]\'',R.001.001.001
